id;key;name;title;releasedate;popularity_spot;popularity;winrate;banrate;averageKDA;pentas/match;blurb;attack;defense;magic;difficulty;role;rangetype;tags;partype;hp;hpperlevel;mp;mpperlevel;movespeed;armor;armorperlevel;spellblock;spellblockperlevel;attackrange;hpregen;hpregenperlevel;mpregen;mpregenperlevel;attackdamage;attackdamageperlevel;attackspeed;attackspeedperlevel;spell1_name;spell1_description;spell1_cost;spell1_cooldown;spell2_name;spell2_description;spell2_cost;spell2_cooldown;spell3_name;spell3_description;spell3_cost;spell3_cooldown;ulti_name;ulti_description;ulti_cost;ulti_cooldown
Heimerdinger;74;Heimerdinger;the Revered Inventor;10/10/2009;154;2.0%;50.6%;1.3%;5.0/6.4/6.5;0.0004;A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's...;2;6;8;8;Support,Top,Middle;Ranged;Mage,Support;Mana;488;87;385;20;340;19.04;3;30;0.5;550;7;0.55;8;0.8;55.536;2.7;0.625;1.36;H-28 G Evolution Turret;Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).;20/20/20/20/20;1/1/1/1/1;Hextech Micro-Rockets;Heimerdinger fires long-range rockets that converge on his cursor.;50/60/70/80/90;11/10/9/8/7;CH-2 Electron Storm Grenade;Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units.;85/85/85/85/85;12/12/12/12/12;UPGRADE!!!;Heimerdinger invents an upgrade, causing his next spell to have increased effects. ;100/100/100;100/85/70
Hwei;910;Hwei;The Visionary;5/12/2023;30;8.5%;50.7%;9.0%;5.8/5.8/8.5;0.0005;Hwei is a brooding painter who creates brilliant art in order to confront Ionia's criminals and comfort their victims. Beneath his melancholy roils a torn, emotional mindóhaunted by both the vibrant visions of his imagination and the gruesome memoriesÖ;;;;10;Middle,Support;Ranged;Artillery;Mana;580;109;480;30.0;330;21;4.7;30;1.3;550;5.5;0.55;7.5;0.75;54;3.3;0.69;2.5;Subject: Disaster;Hwei enters a disastrous mood, gaining access to its abilities as well as Wash Brush Wash Brush. He will exit the mood upon casting any of them.;80/90/100/110/120;10/9/8/7/6;Subject: Serenity;Hwei enters a serene mood, gaining access to its abilities as well as Wash Brush Wash Brush. He will exit the mood upon casting any of them.;90/95/100/105/110;18/17.5/17/16.5/16;Subject: Torment;Hwei enters a tumultuous mood, gaining access to its abilities as well as Wash Brush Wash Brush. He will exit the mood upon casting any of them.;50/55/60/65/70;12/11.5/11/10.5/10;Spiraling Despair;Hwei launches a globule of pure despair in the target direction that collides with the first enemy Champion icon champion hit, afflicting them with an aura that grows over 3 seconds, True Sight icon reveals the target, and grants Sight icon sight within its radius.;100/100/100;140/115/80
Illaoi;420;Illaoi;the Kraken Priestess;24/11/2015;93;4.5%;51.2%;11.4%;5.3/6.6/4.5;0.0005;Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the ‚ÄúTruth Bearer...;8;6;3;4;Top;Melee;Fighter,Tank;Mana;585.6;95;300;40;340;35;3.8;32.1;1.25;125;9.5;0.8;7.5;0.75;68;5;0.571;2.5;Tentacle Smash;Increases the damage dealt by Tentacles. When activated, Illaoi smashes down a Tentacle that deals physical damage.;40/45/50/55/60;10/9/8/7/6;Harsh Lesson;Illaoi leaps to her target, dealing physical damage and causing nearby Tentacles to also swing at the target.;30/30/30/30/30;4/4/4/4/4;Test of Spirit;Illaoi rips the spirit from a foe's body, forcing it to stand before her. Spirits echo a percentage of the damage they take to the original target. If killed, or if the target gets too far from the spirit, the target will become a <font color='#669900'>Vessel</font> and begin spawning Tentacles.;35/40/45/50/55;16/15/14/13/12;Leap of Faith;Illaoi smashes her idol into the ground, dealing physical damage to nearby enemies. A Tentacle spawns for each enemy champion hit.;100/100/100;120/95/70
Irelia;39;Irelia;the Blade Dancer;16/11/2010;68;5.6%;49.0%;8.0%;7.0/7.3/4.6;0.0015;The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...;7;4;5;5;Top,Middle;Melee;Fighter,Assassin;Mana;580;95;350;30;335;36;3;32;1.25;200;8.5;0.85;8;0.8;63;4;0.656;2.5;Bladesurge;Irelia dashes forward to strike her target, healing herself. If the target is Marked or dies to Bladesurge, its cooldown refreshes.;20/20/20/20/20;12/11/10/9/8;Defiant Dance;Irelia charges a strike that deals more damage as she charges. She takes reduced physical damage during the charge.;70/75/80/85/90;20/18/16/14/12;Flawless Duet;Irelia sends out two blades which converge on each other. Enemies caught in between are damaged, stunned and Marked.;50/50/50/50/50;18/16.5/15/13.5/12;Vanguard's Edge;Irelia fires a massive number of blades that explode outward upon hitting an enemy champion. Enemies hit by the blades are damaged and Marked. Afterwards the blades form a wall that will damage and slow enemies that walk through it.;100/100/100;140/120/100
Ivern;427;Ivern;the Green Father;5/10/2016;167;1.4%;49.8%;0.7%;2.6/4.7/13.5;0.0000;Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...;3;5;7;7;Jungle;Ranged;Support,Mage;Mana;585;95;450;60;330;27;3.5;32.1;1.25;475;7;0.85;6;0.75;50;3;0.644;3.4;Rootcaller;Ivern conjures a vine, dealing damage and rooting enemy targets hit. Ivern's allies can dash to the rooted target.;60/60/60/60/60;14/13/12/11/10;Brushmaker;In brush, Ivern's attacks deal bonus magic damage. Ivern can activate this ability to create a patch of brush.;30/30/30/30/30;0.5/0.5/0.5/0.5/0.5;Triggerseed;Ivern places a shield on an ally which explodes after a short duration slowing and damaging enemies.;70/70/70/70/70;12/11/10/9/8;Daisy!;Ivern summons his Sentinel friend Daisy to fight with him. Daisy will send out a shockwave if she attacks the same champion three times in a row.;100/100/100;140/130/120
Janna;40;Janna;the Storm's Fury;2/9/2009;112;3.8%;51.9%;1.4%;1.6/5.0/14.8;0.0000;Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...;3;5;7;7;Support;Ranged;Support,Mage;Mana;500;70;350;64;315;28;3.8;30;0.5;550;5.5;0.55;11.5;0.4;46;1.5;0.625;2.95;Howling Gale;By creating a localized change in pressure and temperature, Janna is able to create a small storm that grows in size with time. She can activate the spell again to release the storm. On release this storm will fly towards the direction it was cast in, dealing damage and knocking away any enemies in its path.;60/80/100/120/140;12/12/12/12/12;Zephyr;Janna summons an air elemental that passively increases her Movement Speed and enables her to pass through units. She may also activate this ability to deal damage and slow an enemy's Movement Speed. The passive is lost while this ability is on cooldown.;50/60/70/80/90;8/7.5/7/6.5/6;Eye Of The Storm;Janna conjures a defensive gale that shields an ally champion or turret from incoming damage and increases their Attack Damage.;70/80/90/100/110;16/15/14/13/12;Monsoon;Janna surrounds herself in a magical storm, throwing enemies back. After the storm has settled, soothing winds heal nearby allies while the ability is active.;100/100/100;150/135/120
JarvanIV;59;Jarvan IV;the Exemplar of Demacia;1/3/2011;18;10.3%;51.4%;4.9%;6.1/5.7/12.5;0.0002;Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...;6;8;3;5;Jungle;Melee;Tank,Fighter;Mana;570;90;300;40;340;34;3.6;32.1;1.25;175;8;0.7;6.5;0.45;64;3.4;0.658;2.5;Dragon Strike;Jarvan IV extends his lance, dealing physical damage and lowering the Armor of enemies in its path. Additionally, this will pull Jarvan to his Demacian Standard, knocking up enemies in his path.;45/50/55/60/65;10/9/8/7/6;Golden Aegis;Jarvan IV calls upon the ancient kings of Demacia to shield him from harm and slow surrounding enemies.;30/30/30/30/30;12/12/12/12/12;Demacian Standard;Jarvan IV carries the pride of Demacia, passively granting him bonus Attack Speed. Activating Demacian Standard allows Jarvan IV to place a Demacian flag that deals magic damage on impact and grants Attack Speed to nearby allied champions.;55/55/55/55/55;12/12/12/12/12;Cataclysm;Jarvan IV heroically leaps into battle at a target with such force that he terraforms the surrounding area to create an arena around them. Nearby enemies are damaged at the moment of impact.;100/100/100;120/105/90
Jax;24;Jax;Grandmaster at Arms;21/2/2009;42;7.5%;49.9%;8.4%;6.0/6.1/4.7;0.0007;Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...;7;5;7;5;Top,Jungle;Melee;Fighter,Assassin;Mana;592.8;85;338.8;32;350;36;3;32.1;1.25;125;8.5;0.55;7.576;0.7;68;3.375;0.638;3.4;Leap Strike;Jax leaps toward a unit. If they are an enemy, he strikes them with his weapon.;65/65/65/65/65;8/7.5/7/6.5/6;Empower;Jax charges his weapon with energy, causing his next attack to deal additional damage.;30/30/30/30/30;7/6/5/4/3;Counter Strike;Jax's combat prowess allows him to dodge all incoming attacks for a short duration and then quickly counterattack, stunning all surrounding enemies.;50/60/70/80/90;16/14/12/10/8;Grandmaster's Might;Every third consecutive attack deals additional Magic Damage. Additionally, Jax can activate this ability to strengthen his resolve, increasing his Armor and Magic Resist for a short duration.;100/100/100;80/80/80
Jayce;126;Jayce;the Defender of Tomorrow;7/7/2012;85;4.7%;48.1%;1.9%;6.5/6.8/6.0;0.0009;Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his...;8;4;3;7;Top,Middle;Melee;Fighter,Marksman;Mana;560;90;375;45;335;27;3.5;30;0.5;125;6;0.6;6;0.8;54;4.25;0.658;3;To the Skies! / Shock Blast;Hammer Stance: Leaps to an enemy dealing physical damage and slowing enemies.<br><br>Cannon Stance: Fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path) dealing physical damage to all enemies hit.;40/40/40/40/40;16/14/12/10/8/6;Lightning Field / Hyper Charge;Hammer Stance: Passive: Restores Mana per strike. Active: Creates a field of lightning damaging nearby enemies for several seconds.<br><br>Cannon Stance: Gains a burst of energy, increasing Attack Speed to maximum for several attacks.;40/40/40/40/40/40;10/10/10/10/10/10;Thundering Blow / Acceleration Gate;Hammer Stance: Deals magic damage to an enemy and knocks them back a short distance.<br><br>Cannon Stance: Deploys an Acceleration Gate increasing the Movement Speed of all allied champions who pass through it. If Shock Blast is fired through the gate the missile speed, range, and damage will increase.;55/55/55/55/55/55;20/18/16/14/12/10;Mercury Cannon / Mercury Hammer;Hammer Stance: Transforms the Mercury Hammer into the Mercury Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist.<br><br>Cannon Stance: Transforms the Mercury Cannon into the Mercury Hammer gaining new abilities and increasing Armor and Magic Resist. The first attack in this form deals additional magic damage.;0;6
Jhin;202;Jhin;the Virtuoso;1/2/2016;1;27.6%;51.7%;17.6%;7.7/5.4/8.3;0.0024;Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...;10;2;6;6;Bottom;Ranged;Marksman,Mage;Mana;556;91;300;50;330;24;3.5;30;0.5;550;3.75;0.55;6;0.8;59;4.7;0.625;0;Dancing Grenade;Jhin launches a magical cartridge at an enemy. It can hit up to four targets and gains damage each time it kills.;40/45/50/55/60;7/6.5/6/5.5/5;Deadly Flourish;Jhin brandishes his cane, firing a single shot with incredible range. It pierces through minions and monsters, but stops on the first champion hit. If the target was recently struck by Jhin's allies, lotus traps, or damaged by Jhin, they are rooted.;50/60/70/80/90;12/12/12/12/12;Captive Audience;Jhin places an invisible lotus trap that blooms when walked over. It slows nearby enemies before dealing damage with an explosion of serrated petals. <br><br><font color='#FFFFFF'>Beauty in Death -</font> When Jhin kills an enemy champion, a lotus trap will bloom near their corpse.;30/35/40/45/50;2/2/2/2/2;Curtain Call;Jhin channels, transforming Whisper into a shoulder-mounted mega-cannon. It is able to fire 4 super shots at extreme range that pierce through minions and monsters, but stop on the first champion impacted. Whisper cripples enemies hit, which slows them and deals execute damage. The 4th shot is perfectly crafted, epically powerful, and guaranteed to critically strike.;100/100/100;120/105/90
Jinx;222;Jinx;the Loose Cannon;10/10/2013;3;19.8%;50.7%;6.1%;7.8/6.1/6.7;0.0074;A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx...;9;2;4;6;Bottom;Ranged;Marksman;Mana;581;84;245;45;325;28;3.5;30;0.5;525;3.75;0.5;6.7;1;57;3.4;0.625;1;Switcheroo!;Jinx modifies her basic attacks by swapping between Pow-Pow, her minigun and Fishbones, her rocket launcher. Attacks with Pow-Pow grant Attack Speed, while attacks with Fishbones deal area of effect damage, gain increased range, and drain Mana.;20/20/20/20/20;1/1/1/1/1;Zap!;Jinx uses Zapper, her shock pistol, to fire a blast that deals damage to the first enemy hit, slowing and revealing it.;50/60/70/80/90;8/7/6/5/4;Flame Chompers!;Jinx throws out a line of snare grenades that explode after 5 seconds, lighting enemies on fire. Flame Chompers will bite enemy champions who walk over them, rooting them in place.;70/70/70/70/70;24/20.5/17/13.5/10;Super Mega Death Rocket!;Jinx fires a super rocket across the map that gains damage as it travels. The rocket will explode upon colliding with an enemy champion, dealing damage to it and surrounding enemies based on their missing Health.;100/100/100;90/75/60
Kaisa;145;Kai'Sa;Daughter of the Void;7/3/2018;2;25.9%;50.8%;8.1%;8.5/5.9/6.6;0.0032;Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...;8;5;3;6;Bottom;Ranged;Marksman;Mana;571;86;344.88;38;335;28;3;30;0.5;525;3.5;0.55;8.2;0.45;59;1.7;0.644;1.8;Icathian Rain;Kai'Sa shoots a swarm of missiles that seek out nearby targets.<br><br>Living Weapon: Icathian Rain is upgraded to shoot more missiles.;55/55/55/55/55;8/7.5/7/6.5/6;Void Seeker;Kai'Sa shoots a long range missile, marking enemies with her passive.<br><br>Living Weapon: Void Seeker is upgraded to apply more passive marks and reduce cooldown on champion hit.;55/60/65/70/75;22/20/18/16/14;Supercharge;Kai'Sa briefly increases her movement speed, then increases her attack speed.<br><br>Living Weapon: Supercharge is upgraded to briefly grant Invisibility.;30/30/30/30/30;16/15/14/13/12;Killer Instinct;Kai'Sa dashes near an enemy champion.;100/100/100;110/90/70
Kalista;429;Kalista;the Spear of Vengeance;20/11/2014;151;2.3%;48.0%;0.5%;8.5/6.7/6.0;0.0024;A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...;8;2;4;7;Bottom;Ranged;Marksman;Mana;534;100;250;45;325;21;4;30;0.5;525;3.75;0.55;6.3;0.4;69;4;0.694;4;Pierce;Throw a fast moving spear that passes through enemies it kills.;50/55/60/65/70;8/8/8/8/8;Sentinel;Gain bonus damage when Kalista and her Oathsworn strike the same target. <br><br>Activate to send a soul to scout out the path, revealing the area in front of it.;20/20/20/20/20;30/30/30/30/30;Rend;Attacks impale their targets with spears. Activate to rip the spears out, slowing and dealing escalating damage.;30/30/30/30/30;0/0/0/0/0;Fate's Call;Kalista teleports the Oathsworn ally to herself. They gain the ability to dash toward a position, knocking enemy champions back.;100/100/100;150/120/90
Karma;43;Karma;the Enlightened One;1/2/2011;43;7.4%;49.7%;2.8%;2.6/6.0/12.8;0.0000;No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...;1;7;8;5;Middle,Support,Top;Ranged;Mage,Support;Mana;534;95;374;50;335;26;3.8;30;0.5;525;5.5;0.55;11.5;0.5;53.544;3.3;0.625;2.3;Inner Flame;Karma sends forth a ball of spirit energy that explodes and deals damage upon hitting an enemy unit.<br><br>Mantra Bonus: In addition to the explosion, Mantra increases the destructive power of her Inner Flame, creating a cataclysm which deals damage after a short delay.;50/55/60/65/70;7/6.5/6/5.5/5;Focused Resolve;Karma creates a tether between herself and a targeted enemy, dealing damage and revealing them. If the tether is not broken, the enemy will be rooted and damaged again.<br><br>Mantra Bonus: Karma strengthens the link, healing herself and extending the root duration.;50/55/60/65/70;12/12/12/12/12;Inspire;Karma summons a protective shield that absorbs incoming damage and increases the Movement Speed of the protected ally.<br><br>Mantra Bonus: Energy radiates out from her target, strengthening the initial shield and applying Inspire to nearby allied champions.;50/55/60/65/70;10/9.5/9/8.5/8;Mantra;Karma empowers her next ability to do an additional effect. Mantra is available at level 1 and does not require a skill point.;0/0/0/0;45/42/39/36
Karthus;30;Karthus;the Deathsinger;12/6/2009;135;2.9%;49.6%;3.2%;8.0/7.5/9.4;0.0009;The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...;2;2;10;7;Jungle;Ranged;Mage;Mana;528;87;467;30.5;325;20.88;3.5;30;0.5;450;6.5;0.55;8;0.8;45.66;3.25;0.625;2.11;Lay Waste;Karthus unleashes a delayed blast at a location, dealing damage to nearby enemies.;20/26/32/38/44;0/0/0/0/0;Wall of Pain;Karthus creates a passable screen of leeching energy. Any enemy units that walk through the screen have their Movement Speed and Magic Resist reduced for a period.;70/70/70/70/70;15/15/15/15/15;Defile;Karthus passively steals energy from his victims, gaining Mana on each kill. Alternatively, Karthus can surround himself in the souls of his prey, dealing damage to nearby enemies, but quickly draining his own Mana.;30/42/54/66/78;0.5/0.5/0.5/0.5/0.5;Requiem;After channeling for 3 seconds, Karthus deals damage to all enemy champions.;100/100/100;200/180/160
Kassadin;38;Kassadin;the Void Walker;7/8/2009;156;1.9%;51.3%;1.8%;8.0/5.5/5.5;0.0065;Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes‚Äîuntil the day his village was...;3;5;8;8;Middle;Melee;Assassin,Mage;Mana;576;90;397.6;67;335;19;2.8;30;0.5;150;6;0.5;6;0.8;58.852;3.9;0.64;3.7;Null Sphere;Kassadin fires an orb of void energy at a target, dealing damage and interrupting channels. The excess energy forms around himself, granting a temporary shield that absorbs magic damage.;70/75/80/85/90;11/10.5/10/9.5/9;Nether Blade;Passive: Kassadin's basic attacks deal bonus magic damage. Active: Kassadin's next basic attack deals significant bonus magic damage and restores Mana.;1/1/1/1/1;7/7/7/7/7;Force Pulse;Kassadin draws energy from spells cast in his vicinity. Upon charging up, Kassadin can use Force Pulse to damage and slow enemies in a cone in front of him.;60/65/70/75/80;5/5/5/5/5;Riftwalk;Kassadin teleports to a nearby location dealing damage to nearby enemy units. Multiple Riftwalks in a short period of time cost additional Mana but also deal additional damage.;50/50/50;5/3.5/2
Katarina;55;Katarina;the Sinister Blade;19/9/2009;47;7.0%;48.5%;7.0%;9.7/7.0/5.7;0.0070;Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...;4;3;9;8;Middle;Melee;Assassin,Mage;None;602;94;0;0;340;27.88;3.5;32.1;1.25;125;7.5;0.7;0;0;58;3.2;0.658;2.74;Bouncing Blade;Katarina throws a <font color='#FFF673'>Dagger</font> at the target that then bounces to nearby enemies before ricocheting onto the ground.;0/0/0/0/0;11/10/9/8/7;Preparation;Katarina gains a burst of movement speed, tossing a <font color='#FFF673'>Dagger</font> into the air directly above herself.;0/0/0/0/0;15/14/13/12/11;Shunpo;Katarina blinks to the target, striking it if its an enemy, or striking the nearest enemy otherwise.;0/0/0/0/0;14/12.5/11/9.5/8;Death Lotus;Katarina becomes a flurry of blades, dealing massive magic damage while she channels to the 3 nearest enemy champions.;0/0/0;90/60/45
Kayle;10;Kayle;the Righteous;21/2/2009;143;2.5%;51.1%;0.8%;5.5/5.9/5.5;0.0023;Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years‚Äîuntil Kayle became disillusioned...;6;6;7;7;Top;Melee;Fighter,Support;Mana;600;85;330;50;335;26;3;34;0.5;175;5;0.5;8;0.8;50;2.5;0.625;1.5;Radiant Blast;Kayle conjures a portal, summoning a celestial sword that pierces through enemies, slowing, damaging, and reducing the resistances of all hit.;70/75/80/85/90;12/11/10/9/8;Celestial Blessing;Blessed by the divine, Kayle heals and grants movement speed to herself and the nearest ally.;70/80/90/100/110;15/15/15/15/15;Starfire Spellblade;Passive: Kayle's celestial sword, Virtue, deals bonus magic damage to enemies she attacks.<br><br>Active: Kayle's next attack smites her target with celestial fire, dealing bonus damage proportionate to their missing health.;50/55/60/65/70;8/8/8/8/8;Divine Judgment;Kayle makes an ally invulnerable and calls upon former Aspects of Justice to purify the area around her target with a holy rain of swords.;100/50/0;160/120/80
Kayn;141;Kayn;the Shadow Reaper;12/7/2017;44;7.3%;50.2%;5.7%;7.6/6.5/7.4;0.0010;A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny‚Äîto one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...;10;6;1;8;Jungle;Melee;Fighter,Assassin;Mana;585;85;410;50;340;38;3.3;32.1;1.25;175;8;0.75;11.5;0.95;68;3.3;0.669;2.7;Reaping Slash;Kayn dashes, then slashes. Both deal damage.;50/50/50/50/50;6/5.5/5/4.5/4;Blade's Reach;Kayn damages and slows targets in a line.;60/65/70/75/80;13/12/11/10/9;Shadow Step;Kayn can walk through terrain.;90/90/90/90/90;21/19/17/15/13;Umbral Trespass;Kayn hides in an enemy's body, dealing massive damage when he bursts out.;100/100/100;120/100/80
Kennen;85;Kennen;the Heart of the Tempest;8/4/2010;145;2.5%;50.6%;1.6%;6.0/5.9/6.5;0.0008;More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...;6;4;7;4;Top;Ranged;Mage,Marksman;Energy;541;84;200;0;335;29;3.75;30;0.5;550;5.5;0.65;50;0;48;3.75;0.625;3.4;Thundering Shuriken;Kennen throws a fast moving shuriken towards a location, causing damage and adding a Mark of the Storm to any opponent that it hits.;60/55/50/45/40;8/7/6/5/4;Electrical Surge;Kennen passively deals extra damage and adds a Mark of the Storm to his target every few attacks, and he can activate this ability to damage and add another Mark of the Storm to targets who are already marked.;40/40/40/40/40;14/12/10/8/6;Lightning Rush;Kennen morphs into a lightning form, enabling him to pass through units and apply a Mark of the Storm. Kennen gains movement speed when entering this form, and attack speed when leaving it.;100/95/90/85/80;10/9/8/7/6;Slicing Maelstrom;Kennen summons a storm that strikes at nearby enemy champions for magical damage.;0/0/0;120/120/120
Khazix;121;Kha'Zix;the Voidreaver;27/9/2012;19;10.2%;50.5%;9.9%;8.8/5.9/6.4;0.0012;The Void grows, and the Void adapts‚Äîin none of its myriad spawn are these truths more apparent than Kha'Zix. Evolution drives the core of this mutating horror, born to survive and to slay the strong. Where it struggles to do so, it grows new, more...;9;4;3;6;Jungle;Melee;Assassin;Mana;572.8;85;327.2;40;350;36;3;32.1;1.25;125;7.5;0.75;7.59;0.5;63;3.1;0.668;2.7;Taste Their Fear;Deals physical damage to the target. Damage increased on <font color='#FFF673'>Isolated</font> targets. If he chooses to <font color='#00DD33'>Evolve Reaper Claws</font>, this refunds a percent of it's cooldown against <font color='#FFF673'>Isolated</font> targets. Kha'Zix also gains increased range on his basic attacks and Taste Their Fear.;20/20/20/20/20;4/4/4/4/4;Void Spike;Kha'Zix fires exploding spikes that deal physical damage to enemies hit. Kha'Zix is healed if he is also within the explosion radius. If he chooses to <font color='#00DD33'>Evolve Spike Racks</font>, Void Spike now fires three spikes in a cone, slow enemies hit, and reveals enemy champions hit for 2 seconds. <font color='#FFF673'>Isolated</font> targets are slowed for extra.;55/60/65/70/75;9/9/9/9/9;Leap;Kha'Zix leaps to an area, dealing physical damage upon landing. If he chooses to <font color='#00DD33'>Evolve Wings</font>, Leap's range increases by 200 and the cooldown resets on champion kill or assist.;50/50/50/50/50;20/18/16/14/12;Void Assault;Each rank allows Kha'Zix to evolve one of his abilities, giving it a unique additional effect. When activated, Kha'Zix becomes <font color='#91d7ee'>Invisible</font>, triggering Unseen Threat and increasing Movement Speed. If he chooses to <font color='#00DD33'>Evolve Adaptive Cloaking</font>, Void Assault gains increased <font color='#91d7ee'>Invisibility</font> duration, and an additional use.;100/100/100;100/85/70
Kindred;203;Kindred;The Eternal Hunters;14/10/2015;141;2.6%;48.3%;1.8%;7.7/6.7/6.9;0.0022;Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his...;8;2;2;4;Jungle;Ranged;Marksman;Mana;540;85;300;35;325;29;3.5;30;0.5;500;7;0.55;7;0.4;65;2.5;0.625;3.5;Dance of Arrows;Kindred tumbles and shoots up to three arrows at nearby targets.;35/35/35/35/35;9/9/9/9/9;Wolf's Frenzy;Wolf enrages and attacks enemies around him.  Lamb passively gains stacks by moving and attacking. When fully charged, Lamb's next attack restores health.;40/40/40/40/40;18/17/16/15/14;Mounting Dread;Lamb fires a carefully placed shot, slowing the target. If Lamb attacks the target two more times, her third attack instead directs Wolf to pounce on the enemy, savaging them for massive damage.;0/0/0/0/0;16/15/14/13/12;Lamb's Respite;Lamb grants all living things inside a zone a respite from death. Until the effect ends, nothing can die. At the end, units are healed.;0/0/0;180/150/120
Kled;240;Kled;the Cantankerous Cavalier;10/8/2016;160;1.8%;51.5%;0.9%;7.1/6.2/6.5;0.0011;A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the...;8;2;2;7;Top;Melee;Fighter,Tank;Courage;340;70;100;0;345;35;4;32.1;1.25;125;6;0.75;0;0;65;3.5;0.625;3.5;Bear Trap on a Rope;Kled throws a bear trap that damages and hooks an enemy champion. If shackled for a short duration, the target takes additional physical damage and is yanked toward Kled.<br><br>When dismounted, this ability is replaced by Pocket Pistol, a ranged gun blast that knocks back Kled and restores courage.;0/0/0/0/0;11/10/9/8/7;Violent Tendencies;Kled gains massive attack speed for four attacks. The fourth attack deals more damage.;0/0/0/0/0;14/12.5/11/9.5/8;Jousting;Kled dashes, dealing physical damage and gaining a short burst of speed. Kled can cast this ability again to dash back through his initial target, dealing the same damage.;0/0/0/0/0;14/13/12/11/10;Chaaaaaaaarge!!!;Kled and Skaarl charge to a location, leaving a speed-granting trail behind them and gaining a shield. Skaarl locks onto and rams the first enemy champion encountered.;0/0/0;160/140/120
